"|","|__date","|__Aqua","|__year","|__Air Panas+gula","|__Test Food","|__tea float","|__Orange Float","|__Ayam Goreng","|__test food","|__Kopi Susu","|__sosis 1rb","|__sosis goreng","|__Sop","|__test2","|__Nasi Telur ","|__Nasi Bungkus","|__Tahu Tek","|__es batu","|__Krupuk","|__Kentang Goreng","|__voucher 15.000","|__Spaghetti","|__Teh Panas","|__french fries ","|__ayam geprek","|__Ayam Geprek (Tanpa Nasi)","|__SebLak Muzam","|__Mie Keriting","|__Nasi Goreng","|__kerupuk udang","|__tahu crispy","|__telur mata sapi","|__voucher 11000","|__Sosis","|__Telur Mata Sapi","|__Tahu Tek ","|__Club","|__Seblak AsLi","|__Isoplus","|__NasBung B","|__Pisang G","|__Sprite","|__Fanta","|__Nasi Pindang","|__Nasi Telur","|__Es Buah","|__Mie (Tanpa Telur)","|__Ayam Silep (tanpa nasi)","|__Nasi Sosis Goreng","|__ayam silep","|__Floridina","|__Coca-Cola","|__Sosis Naget","|__month","|__Es Kopi Durian","|__Sereal","|__Frestea","|__Aqua 600ml","|__Mie Ayam","|__NasBung A","|__Kopi Hitam","|__soto ayam","|__tahu ranjau","|__gorengan","|__nasi ayam silep","|__Es Milo","|__ES","|__Nasi Bungkus ","|__Soto","|__Masak Mie ","|__Air Mineral","|__Kerupuk ","|__Es Krim","|__Jeruk Hangat","|__Kerupuk","|__Coca Cola Float","|__Sayur Asem Tempe Goreng","|__Es Chocolatos","|__Nasi Putih ","|__Ayam Geprek","|__Nasi Sosis","|__Tahu Krispy","|__Sayur Asem Lele","|__soto","|__Masak Mie","|__Sosis 1rb","|__voucher 15000","|__Es Salju","|__Es Cendol","|__sebLak 375","|__Popmie","|__Teh Pucuk Harum","|__Nasi Ayam","|__Kentang G","|__Tahu G","|__Milo","|__Siomay","|__Cireng isi","|__Mie","|__Penyetan Dadar","|__Voucher","|__Coffee Float","|__Sayur Sop Tempe Goreng","|__Sayur Sop Ayam Goreng","|__Aneka Kopi","|__Cireng Isi","|__Masak Mie+Telur","|__Penyetan Telur ","|__Penyetan Lele","|__Pecel Tempe","|__Penyetan Ayam ","|__Es Batu/air panas","|__sayur Asem lele","|__sosis 1rb ","|__tes","|__Ayam Silep","|__Ayam Silep (Tanpa nasi)","|__Es Salju (Slushy)","|__sosis","|__Es Dawet Cincau","|__Es Teh","|__Tea Float","|__mie","|__Es Batu","|__Sosis 1rb ","|__Nasi Putih","|__air gelas","|__Penyetan Tempe","|__Kuah Sop ","|__Air Panas","|__Es krim","|__Es Jeruk","|__brengkesan pindang","|__Sayur Asem Telur Goreng","|__Penyetan Ikan Asin","|__Es Kopi","|__Chocolatos Float","|__Mie Tanpa Telur","|__French Fries","|__nasi goreng","|__masak mie+telur","|__ayam silep (tanpa nasi)","|__nasi sosis goreng ","|__masak mie","|__nasi putih","|__nasi telur","|__Lele goreng","|__Gorengan ","|__Telor Matasapi","|__total","|__Risol Mayo","|__Pisang Coklat Keju","|__Chocolatos Panas","|__Kuah Sop","|__penyetan lele","|__mie tanpa telur","|__cireng ","|__Test","|__jeruk hangat","|__cireng isi","|__jus mangga","|__Masak Mie + Telur","|__Sosis Goreng","|__Sayur Sop Telur Goreng","|__Tahu Telur","|__Tes","|__test","|__test minuman2","|__Es Dawet","|__Bakso","|__Gorengan","|__Sayur Asem Dadar","|__Es Kopi/chocolatos","|__Sayur Asem Ayam Goreng","|__Sebak 375","|__timestamp___seconds","|__timestamp___nanoseconds","|__customerNumber","|__-","|__Voucher Rp11000","|__cireng jumbo","|__Teh Hangat"
"2022-03-13","2022-03-13","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","2","","","","","","1","0","0","2022-03","0","0","0","1","0","8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","7","16","18","27","23","","","","","","","","","","","","","","","","","","","","","","","","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1017000","","","","","","","","","","","","","","","","","","","","24","","","","","","1647160459","916000000","52","","","","2"
"2022-03-14","2022-03-14","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","2","","","","","","4","0","0","2022-03","0","0","1","0","0","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","10","16","13","28","22","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","817000","","","","","","","","","","","","","","","","","","","","17","","","","","","1647245097","498000000","51","","","","1"
"2022-03-15","2022-03-15","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","4","","","","","","1","0","0","2022-03","0","0","0","2","0","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","2","3","11","18","21","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","630000","","","","","","","","","","","","","","","","","","","","19","","","","","","1647332540","552000000","42","","","","2"
"2022-03-16","2022-03-16","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","1","0","0","1","","","","","","0","0","0","2022-03","0","0","0","0","0","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","4","3","2","8","16","","","","","","","","","","","","","","","","","","","","","","","","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","556000","","","","","","","","","","","","","","","","","","","","14","","","","","","1647411665","37000000","21","","","","7"
"2022-03-17","2022-03-17","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","1","","","","","","2","0","0","2022-03","0","0","1","0","0","6","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","5","2","8","4","13","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","314000","","","","","","","","","","","","","","","","","","","","5","","","","","","1647505396","93000000","28","","","","1"
"2022-03-19","2022-03-19","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","3","","","","","","2","0","0","2022-03","0","0","0","7","0","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","0","4","11","9","17","17","","","","","","","","","","","","","","","","","","","","","","","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","766000","","","","","","","","","","","","","","","","","","","","21","","","","","","1647679592","193000000","46","","","","0"
"2022-03-20","2022-03-20","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","3","","","","","","4","0","0","2022-03","0","0","3","1","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","0","3","16","10","19","19","","","","","","","","","","","","","","","","","","","","","","","","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","836000","","","","","","","","","","","","","","","","","","","","13","","","","","","1647766466","30000000","57","","","","1"
"2022-03-21","2022-03-21","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","2","","","","","","1","0","0","2022-03","0","0","0","0","0","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","0","4","12","11","18","10","","","","","","","","","","","","","","","","","","","","","","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","703000","","","","","","","","","","","","","","","","","","","","6","","","","","","1647854059","516000000","46","","","","0"
"2022-03-22","2022-03-22","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","0","0","0","2","","","","","","1","0","0","2022-03","0","0","0","2","0","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","0","7","13","12","18","18","","","","","","","","","","","","","","","","","","","","","","","","52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","988000","","","","","","","","","","","","","","","","","","","","15","","","","","","1647939470","566000000","62","","","","2"
"2022-03-23","2022-03-23","","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","","","","","","11","2","0","2022-03","0","0","2","3","0","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","0","2","20","10","17","15","","","","","","","","","","","","","","","","","","","","","","","","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","914000","","","","","","","","","","","","","","","","","","","","11","","","","","","1648024318","497000000","63","","","","1"
